"","classification_id","user_name","user_id","user_ip","workflow_id","workflow_name","workflow_version","created_at","gold_standard","expert","metadata","annotations","subject_data","subject_ids","structured","Sky","Urban","Barren","Cultivated","Trees","Herbaceous","Shrubs","Water","None","MUC","IGBP","direction","longitude","latitude","MUC Classification","IGBP Classification","Description"
"1",373043461,"pedernelson",1805556,"4c0253a3589f4b5380a2",20048,"Sort photos by Primary Land Cover",13.9,"2021-11-03 23:14:39 UTC",TRUE,"owner","{""source"":""api"",""session"":""e3c5dee31a10f3fb9be8da0227d7b4f5f214e6b393bb3448d935691ac99363a5"",""viewport"":{""width"":1326,""height"":881},""started_at"":""2021-11-03T23:14:09.663Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10.14; rv:93.0) Gecko/20100101 Firefox/93.0"",""utc_offset"":""25200"",""finished_at"":""2021-11-03T23:14:39.518Z"",""live_project"":false,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":804,""clientHeight"":452,""naturalWidth"":1920,""naturalHeight"":1080}],""subject_selection_state"":{""retired"":false,""selected_at"":""2021-11-03T23:14:09.564Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""50471""}","[{""task"":""T0"",""task_label"":""Select all photo elements using these labels."",""value"":[""Can't label""]}]","{""69962454"":{""retired"":null,""Filename"":""GOLC_n13p71640_e100p48100_47PPR601168_0003m_20190612_00024069_1Up000_Land1_M01_IGBP13UrbanAndBuildUpLands_DryGroundLeavesOnTrees_manual_m_1920x1080.jpg""}}",69962454,1,0,0,0,0,0,0,0,0,1,"M01","IGBP13","Up","13.71640","100.48100","Mainly Evergreen","Urban and Built-up Lands","At least 30% impervious surface area including building materials, asphalt, and vehicles."
"2",373043479,"pedernelson",1805556,"4c0253a3589f4b5380a2",20048,"Sort photos by Primary Land Cover",13.9,"2021-11-03 23:14:45 UTC",TRUE,"owner","{""source"":""api"",""session"":""e3c5dee31a10f3fb9be8da0227d7b4f5f214e6b393bb3448d935691ac99363a5"",""viewport"":{""width"":1326,""height"":881},""started_at"":""2021-11-03T23:14:41.362Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10.14; rv:93.0) Gecko/20100101 Firefox/93.0"",""utc_offset"":""25200"",""finished_at"":""2021-11-03T23:14:45.494Z"",""live_project"":false,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":595,""clientHeight"":793,""naturalWidth"":2268,""naturalHeight"":3024}],""subject_selection_state"":{""retired"":false,""selected_at"":""2021-11-03T23:14:09.564Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""50471""}","[{""task"":""T0"",""task_label"":""Select all photo elements using these labels."",""value"":[""Sky""]}]","{""69962419"":{""retired"":null,""Filename"":""GOLC_n13p78430_e100p53400_47PPR658244_0008m_20190612_00024066_1Up000_Land1_M43_IGBP13UrbanAndBuildUpLands_DryGroundLeavesOnTrees_automatic25m_2268x3024.jpg""}}",69962419,1,1,0,0,0,0,0,0,0,0,"M43","IGBP13","Up","13.78430","100.53400","Short Graminoid","Urban and Built-up Lands","At least 30% impervious surface area including building materials, asphalt, and vehicles."
"3",373043513,"pedernelson",1805556,"4c0253a3589f4b5380a2",20048,"Sort photos by Primary Land Cover",13.9,"2021-11-03 23:14:58 UTC",TRUE,"owner","{""source"":""api"",""session"":""e3c5dee31a10f3fb9be8da0227d7b4f5f214e6b393bb3448d935691ac99363a5"",""viewport"":{""width"":1326,""height"":881},""started_at"":""2021-11-03T23:14:46.896Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10.14; rv:93.0) Gecko/20100101 Firefox/93.0"",""utc_offset"":""25200"",""finished_at"":""2021-11-03T23:14:58.125Z"",""live_project"":false,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":804,""clientHeight"":452,""naturalWidth"":1920,""naturalHeight"":1080}],""subject_selection_state"":{""retired"":false,""selected_at"":""2021-11-03T23:14:09.564Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""50471""}","[{""task"":""T0"",""task_label"":""Select all photo elements using these labels."",""value"":[""Herbaceous"",""Urban""]}]","{""69962212"":{""retired"":null,""Filename"":""GOLC_n13p78440_e100p53400_47PPR658244_0008m_20190627_00024912_2Down0_Land1_xxx_IGBP13UrbanAndBuildUpLands_MuddyDryGroundLeavesOnTrees_manual_m_1920x1080.jpg""}}",69962212,1,0,1,0,0,0,1,0,0,0,"xxx","IGBP13","Down","13.78440","100.53400",NA,"Urban and Built-up Lands","At least 30% impervious surface area including building materials, asphalt, and vehicles."
"4",373043546,"pedernelson",1805556,"4c0253a3589f4b5380a2",20048,"Sort photos by Primary Land Cover",13.9,"2021-11-03 23:15:11 UTC",TRUE,"owner","{""source"":""api"",""session"":""e3c5dee31a10f3fb9be8da0227d7b4f5f214e6b393bb3448d935691ac99363a5"",""viewport"":{""width"":1326,""height"":881},""started_at"":""2021-11-03T23:15:00.869Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10.14; rv:93.0) Gecko/20100101 Firefox/93.0"",""utc_offset"":""25200"",""finished_at"":""2021-11-03T23:15:11.296Z"",""live_project"":false,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":804,""clientHeight"":452,""naturalWidth"":1920,""naturalHeight"":1080}],""subject_selection_state"":{""retired"":false,""selected_at"":""2021-11-03T23:14:09.564Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""50471""}","[{""task"":""T0"",""task_label"":""Select all photo elements using these labels."",""value"":[""Barren""]}]","{""69962319"":{""retired"":null,""Filename"":""GOLC_n01p95670_w072p65430_18NYH609164_0216m_20190815_00026724_2Down0_Land1_xxx_IGBP09Savannas_StandingWaterMuddy_automatic4m_1920x1080.jpg""}}",69962319,1,0,0,1,0,0,0,0,0,0,"xxx","IGBP09","Down","01.95670","-072.65430",NA,"Savannas","Tree cover 10-30% (canopy >2m)."
"5",373043613,"pedernelson",1805556,"4c0253a3589f4b5380a2",20048,"Sort photos by Primary Land Cover",13.9,"2021-11-03 23:15:37 UTC",TRUE,"owner","{""source"":""api"",""session"":""e3c5dee31a10f3fb9be8da0227d7b4f5f214e6b393bb3448d935691ac99363a5"",""viewport"":{""width"":1326,""height"":881},""started_at"":""2021-11-03T23:15:26.025Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10.14; rv:93.0) Gecko/20100101 Firefox/93.0"",""utc_offset"":""25200"",""finished_at"":""2021-11-03T23:15:36.960Z"",""live_project"":false,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":804,""clientHeight"":452,""naturalWidth"":1920,""naturalHeight"":1080}],""subject_selection_state"":{""retired"":false,""selected_at"":""2021-11-03T23:14:09.564Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""50471""}","[{""task"":""T0"",""task_label"":""Select all photo elements using these labels."",""value"":[""Urban""]}]","{""69962176"":{""retired"":null,""Filename"":""GOLC_n13p78440_e100p53430_47PPR658244_0008m_20190627_00024913_2Down0_Land1_xxx_IGBP13UrbanAndBuildUpLands_MuddyDryGroundLeavesOnTrees_manual_m_1920x1080.jpg""}}",69962176,1,0,1,0,0,0,0,0,0,0,"xxx","IGBP13","Down","13.78440","100.53430",NA,"Urban and Built-up Lands","At least 30% impervious surface area including building materials, asphalt, and vehicles."
"6",373044605,"pedernelson",1805556,"a8656956265cf7785203",20048,"Sort photos by Primary Land Cover",13.9,"2021-11-03 23:22:12 UTC",NA,NA,"{""source"":""api"",""session"":""e3c5dee31a10f3fb9be8da0227d7b4f5f214e6b393bb3448d935691ac99363a5"",""viewport"":{""width"":1326,""height"":881},""started_at"":""2021-11-03T23:15:38.321Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10.14; rv:93.0) Gecko/20100101 Firefox/93.0"",""utc_offset"":""25200"",""finished_at"":""2021-11-03T23:22:12.341Z"",""live_project"":false,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":446,""clientHeight"":793,""naturalWidth"":810,""naturalHeight"":1440}],""subject_selection_state"":{""retired"":false,""selected_at"":""2021-11-03T23:14:09.564Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""50471""}","[{""task"":""T0"",""task_label"":""Select all photo elements using these labels."",""value"":[""Sky"",""Trees"",""Urban"",""Herbaceous"",""Shrubs"",""Cultivated""]}]","{""69962473"":{""retired"":null,""Filename"":""GOLC_n05p65370_w000p18740_30NZM115256_0102m_20190809_00031673_6West0_Land1_xxx_IGBP13UrbanAndBuildUpLands_LeavesOnTrees_automatic28m_810x1440.jpg""}}",69962473,1,1,1,0,1,1,1,1,0,0,"xxx","IGBP13","West","05.65370","-000.18740",NA,"Urban and Built-up Lands","At least 30% impervious surface area including building materials, asphalt, and vehicles."
"7",373049027,"pedernelson",1805556,"5f2d9a87fe4e6da8d0ee",20048,"Sort photos by Primary Land Cover",13.9,"2021-11-03 23:53:29 UTC",TRUE,"owner","{""source"":""api"",""session"":""e3c5dee31a10f3fb9be8da0227d7b4f5f214e6b393bb3448d935691ac99363a5"",""viewport"":{""width"":1326,""height"":881},""started_at"":""2021-11-03T23:22:13.823Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10.14; rv:93.0) Gecko/20100101 Firefox/93.0"",""utc_offset"":""25200"",""finished_at"":""2021-11-03T23:53:29.299Z"",""live_project"":false,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":793,""clientHeight"":793,""naturalWidth"":3088,""naturalHeight"":3088}],""subject_selection_state"":{""retired"":false,""selected_at"":""2021-11-03T23:14:09.564Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""50471""}","[{""task"":""T0"",""task_label"":""Select all photo elements using these labels."",""value"":[""Sky"",""Trees"",""Herbaceous"",""Cultivated""]}]","{""69962077"":{""retired"":null,""Filename"":""GOLC_n06p18200_w075p64620_18NVM285833_1769m_20190921_00027362_3North_Land1_M42_IGBP13UrbanAndBuildUpLands_MuddyDryGroundLeavesOnTreesRainSnow_manual_m_3088x3088.jpg""}}",69962077,1,1,0,0,1,1,1,0,0,0,"M42","IGBP13","North","06.18200","-075.64620","Medium-Tall Graminoid","Urban and Built-up Lands","At least 30% impervious surface area including building materials, asphalt, and vehicles."
"8",373049261,"pedernelson",1805556,"5f2d9a87fe4e6da8d0ee",20048,"Sort photos by Primary Land Cover",13.9,"2021-11-03 23:55:00 UTC",TRUE,"owner","{""source"":""api"",""session"":""e3c5dee31a10f3fb9be8da0227d7b4f5f214e6b393bb3448d935691ac99363a5"",""viewport"":{""width"":1326,""height"":881},""started_at"":""2021-11-03T23:53:31.392Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10.14; rv:93.0) Gecko/20100101 Firefox/93.0"",""utc_offset"":""25200"",""finished_at"":""2021-11-03T23:54:59.997Z"",""live_project"":false,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":804,""clientHeight"":452,""naturalWidth"":1920,""naturalHeight"":1080}],""subject_selection_state"":{""retired"":false,""selected_at"":""2021-11-03T23:14:09.564Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""50471""}","[{""task"":""T0"",""task_label"":""Select all photo elements using these labels."",""value"":[""Trees"",""Shrubs"",""Urban""]}]","{""69962249"":{""retired"":null,""Filename"":""GOLC_n13p78470_e100p53480_47PPR659244_0010m_20190618_00024212_3North_Land1_xxx_IGBP13UrbanAndBuildUpLands_DryGroundLeavesOnTrees_automatic83m_1920x1080.jpg""}}",69962249,1,0,1,0,0,1,0,1,0,0,"xxx","IGBP13","North","13.78470","100.53480",NA,"Urban and Built-up Lands","At least 30% impervious surface area including building materials, asphalt, and vehicles."
"9",373049360,"pedernelson",1805556,"5f2d9a87fe4e6da8d0ee",20048,"Sort photos by Primary Land Cover",13.9,"2021-11-03 23:55:41 UTC",TRUE,"owner","{""source"":""api"",""session"":""e3c5dee31a10f3fb9be8da0227d7b4f5f214e6b393bb3448d935691ac99363a5"",""viewport"":{""width"":1326,""height"":881},""started_at"":""2021-11-03T23:55:01.620Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10.14; rv:93.0) Gecko/20100101 Firefox/93.0"",""utc_offset"":""25200"",""finished_at"":""2021-11-03T23:55:41.234Z"",""live_project"":false,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":595,""clientHeight"":793,""naturalWidth"":3024,""naturalHeight"":4032}],""subject_selection_state"":{""retired"":false,""selected_at"":""2021-11-03T23:14:09.564Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""50471""}","[{""task"":""T0"",""task_label"":""Select all photo elements using these labels."",""value"":[""Sky"",""Urban"",""Trees"",""Herbaceous"",""Cultivated""]}]","{""69962081"":{""retired"":null,""Filename"":""GOLC_n13p78430_e100p53410_47PPR658244_0008m_20190617_00024199_3North_Land1_M31_IGBP13UrbanAndBuildUpLands_MuddyLeavesOnTrees_manual_m_3024x4032.jpg""}}",69962081,1,1,1,0,1,1,1,0,0,0,"M31","IGBP13","North","13.78430","100.53410","Mainly Evergreen (Dwarf-Shrubland or Dwarf-Thicket)","Urban and Built-up Lands","At least 30% impervious surface area including building materials, asphalt, and vehicles."
"10",373049409,"pedernelson",1805556,"5f2d9a87fe4e6da8d0ee",20048,"Sort photos by Primary Land Cover",13.9,"2021-11-03 23:56:05 UTC",TRUE,"owner","{""source"":""api"",""session"":""e3c5dee31a10f3fb9be8da0227d7b4f5f214e6b393bb3448d935691ac99363a5"",""viewport"":{""width"":1326,""height"":881},""started_at"":""2021-11-03T23:55:43.002Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10.14; rv:93.0) Gecko/20100101 Firefox/93.0"",""utc_offset"":""25200"",""finished_at"":""2021-11-03T23:56:05.021Z"",""live_project"":false,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":804,""clientHeight"":452,""naturalWidth"":1920,""naturalHeight"":1080}],""subject_selection_state"":{""retired"":false,""selected_at"":""2021-11-03T23:14:09.564Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""50471""}","[{""task"":""T0"",""task_label"":""Select all photo elements using these labels."",""value"":[""Sky"",""Urban"",""Trees"",""Herbaceous"",""Cultivated""]}]","{""69962282"":{""retired"":null,""Filename"":""GOLC_n13p78420_e100p53390_47PPR658243_0013m_20190614_00024129_6West0_Land1_M43_IGBP13UrbanAndBuildUpLands_DryGround_manual_m_1920x1080.jpg""}}",69962282,1,1,1,0,1,1,1,0,0,0,"M43","IGBP13","West","13.78420","100.53390","Short Graminoid","Urban and Built-up Lands","At least 30% impervious surface area including building materials, asphalt, and vehicles."
